typL,liczbaL,typS,liczbS,typP,liczbaP,typWrogaL,liczbaWrogaL,typWrogaS,liczbWrogaS,typWrogaP,liczbaWrogaP,wygrana
piechurzy,108,piechurzy,151,konnica,203,konnica,366,artylerzysci,87,artylerzysci,10,0
piechurzy,309,konnica,82,konnica,30,artylerzysci,16,piechurzy,365,piechurzy,131,0
piechurzy,231,piechurzy,165,piechurzy,58,piechurzy,2,artylerzysci,198,piechurzy,283,0
piechurzy,86,artylerzysci,86,piechurzy,65,konnica,98,artylerzysci,336,artylerzysci,104,0
artylerzysci,190,artylerzysci,63,artylerzysci,19,artylerzysci,335,konnica,247,artylerzysci,1,0
piechurzy,230,artylerzysci,148,piechurzy,62,piechurzy,269,artylerzysci,164,artylerzysci,141,0
artylerzysci,92,artylerzysci,226,konnica,38,konnica,450,piechurzy,12,konnica,41,0
artylerzysci,158,piechurzy,49,artylerzysci,81,piechurzy,325,artylerzysci,4,artylerzysci,89,1
konnica,97,artylerzysci,193,artylerzysci,8,piechurzy,35,piechurzy,384,artylerzysci,168,1
artylerzysci,275,artylerzysci,76,artylerzysci,87,piechurzy,102,piechurzy,324,piechurzy,144,1
artylerzysci,110,artylerzysci,184,artylerzysci,94,piechurzy,499,konnica,108,konnica,51,0
piechurzy,42,piechurzy,44,piechurzy,273,piechurzy,76,piechurzy,363,konnica,93,0
konnica,180,piechurzy,39,piechurzy,70,piechurzy,240,artylerzysci,74,konnica,137,0
artylerzysci,28,artylerzysci,188,konnica,101,artylerzysci,290,artylerzysci,248,piechurzy,16,0
konnica,272,artylerzysci,46,konnica,21,piechurzy,164,konnica,243,artylerzysci,114,1
piechurzy,184,artylerzysci,122,piechurzy,13,artylerzysci,99,artylerzysci,98,piechurzy,243,0
konnica,269,konnica,63,artylerzysci,10,artylerzysci,296,artylerzysci,151,piechurzy,116,1
piechurzy,307,piechurzy,74,artylerzysci,138,artylerzysci,367,konnica,188,artylerzysci,13,0
piechurzy,312,piechurzy,190,piechurzy,57,piechurzy,469,konnica,56,konnica,176,0
piechurzy,23,piechurzy,183,artylerzysci,155,konnica,328,konnica,59,piechurzy,43,0
konnica,31,artylerzysci,67,piechurzy,182,piechurzy,16,konnica,112,konnica,225,0
piechurzy,21,artylerzysci,228,konnica,80,piechurzy,355,artylerzysci,144,konnica,182,0
konnica,106,piechurzy,116,artylerzysci,104,piechurzy,341,piechurzy,245,piechurzy,87,1
piechurzy,287,konnica,139,konnica,46,artylerzysci,448,konnica,1,piechurzy,29,0
piechurzy,12,konnica,210,konnica,121,piechurzy,356,piechurzy,246,konnica,128,0
konnica,123,piechurzy,100,piechurzy,67,artylerzysci,353,konnica,203,piechurzy,20,0
artylerzysci,272,artylerzysci,114,artylerzysci,26,piechurzy,208,piechurzy,90,konnica,292,1
artylerzysci,270,konnica,115,konnica,12,artylerzysci,210,konnica,270,artylerzysci,17,0
piechurzy,117,konnica,252,artylerzysci,33,piechurzy,442,artylerzysci,48,piechurzy,176,1
artylerzysci,333,artylerzysci,66,artylerzysci,25,piechurzy,485,piechurzy,213,konnica,35,1
artylerzysci,176,konnica,116,konnica,56,konnica,416,konnica,22,artylerzysci,2,0
piechurzy,93,piechurzy,76,piechurzy,1,artylerzysci,299,piechurzy,262,konnica,104,0
artylerzysci,77,artylerzysci,234,artylerzysci,91,piechurzy,455,konnica,180,artylerzysci,33,0
piechurzy,215,konnica,195,konnica,40,konnica,429,piechurzy,71,piechurzy,32,0
piechurzy,152,konnica,123,piechurzy,11,artylerzysci,429,konnica,32,artylerzysci,50,0
artylerzysci,86,artylerzysci,241,konnica,40,artylerzysci,295,konnica,19,konnica,74,0
konnica,173,konnica,124,piechurzy,3,piechurzy,18,artylerzysci,347,konnica,216,1
piechurzy,228,artylerzysci,183,artylerzysci,49,piechurzy,28,konnica,486,artylerzysci,2,0
konnica,243,artylerzysci,71,piechurzy,34,konnica,42,konnica,188,konnica,11,1
piechurzy,169,konnica,181,konnica,56,artylerzysci,463,artylerzysci,147,artylerzysci,19,0
artylerzysci,70,konnica,101,artylerzysci,100,artylerzysci,419,piechurzy,154,piechurzy,64,0
piechurzy,308,piechurzy,92,artylerzysci,21,artylerzysci,263,konnica,199,konnica,62,0
piechurzy,308,artylerzysci,153,piechurzy,1,piechurzy,411,piechurzy,34,artylerzysci,122,0
artylerzysci,124,konnica,56,piechurzy,32,piechurzy,242,konnica,257,piechurzy,27,0
piechurzy,229,konnica,103,piechurzy,67,artylerzysci,194,piechurzy,52,konnica,190,0
artylerzysci,287,artylerzysci,65,konnica,68,konnica,12,piechurzy,285,artylerzysci,340,0
artylerzysci,282,artylerzysci,106,piechurzy,23,piechurzy,410,piechurzy,158,konnica,91,1
piechurzy,51,artylerzysci,58,artylerzysci,64,artylerzysci,294,piechurzy,15,konnica,204,0
piechurzy,229,artylerzysci,48,piechurzy,8,konnica,190,artylerzysci,238,konnica,17,0
konnica,225,piechurzy,35,artylerzysci,63,piechurzy,449,artylerzysci,9,konnica,152,0
artylerzysci,110,piechurzy,85,konnica,173,konnica,325,artylerzysci,95,konnica,14,0
piechurzy,31,artylerzysci,93,konnica,179,konnica,219,konnica,200,artylerzysci,72,0
artylerzysci,224,artylerzysci,70,artylerzysci,49,piechurzy,7,artylerzysci,321,piechurzy,2,1
konnica,265,piechurzy,45,artylerzysci,26,artylerzysci,16,artylerzysci,181,artylerzysci,289,0
artylerzysci,251,artylerzysci,110,artylerzysci,77,konnica,58,piechurzy,297,piechurzy,170,1
piechurzy,52,piechurzy,130,artylerzysci,228,piechurzy,214,piechurzy,263,artylerzysci,46,1
konnica,122,konnica,53,konnica,93,piechurzy,492,konnica,130,piechurzy,73,0
piechurzy,346,konnica,14,artylerzysci,75,artylerzysci,137,piechurzy,391,konnica,24,0
artylerzysci,334,piechurzy,37,konnica,60,konnica,202,piechurzy,182,konnica,205,0
konnica,6,artylerzysci,15,piechurzy,254,piechurzy,457,piechurzy,185,artylerzysci,73,0
artylerzysci,240,konnica,87,konnica,65,artylerzysci,425,konnica,124,konnica,1,0
artylerzysci,334,piechurzy,22,artylerzysci,20,piechurzy,28,artylerzysci,410,piechurzy,16,1
konnica,151,piechurzy,192,piechurzy,53,konnica,386,piechurzy,93,artylerzysci,5,0
piechurzy,206,artylerzysci,210,piechurzy,15,artylerzysci,298,piechurzy,253,piechurzy,146,0
konnica,307,piechurzy,8,artylerzysci,16,piechurzy,9,artylerzysci,72,piechurzy,325,1
artylerzysci,109,konnica,159,artylerzysci,82,piechurzy,64,konnica,338,piechurzy,37,1
konnica,90,piechurzy,137,piechurzy,173,konnica,388,konnica,48,artylerzysci,42,0
konnica,215,piechurzy,3,artylerzysci,78,piechurzy,472,piechurzy,27,artylerzysci,31,1
konnica,323,konnica,24,piechurzy,3,artylerzysci,241,konnica,90,artylerzysci,185,1
konnica,112,konnica,205,artylerzysci,13,artylerzysci,148,piechurzy,353,piechurzy,33,1
artylerzysci,16,artylerzysci,240,konnica,145,piechurzy,423,piechurzy,238,piechurzy,130,1
piechurzy,282,konnica,4,konnica,157,piechurzy,16,artylerzysci,37,konnica,135,1
piechurzy,201,artylerzysci,195,artylerzysci,38,piechurzy,416,artylerzysci,163,konnica,86,0
piechurzy,47,piechurzy,203,piechurzy,104,konnica,304,konnica,197,konnica,1,0
piechurzy,177,konnica,176,piechurzy,45,konnica,328,piechurzy,4,konnica,151,0
artylerzysci,324,piechurzy,34,konnica,36,piechurzy,406,artylerzysci,286,artylerzysci,36,1
piechurzy,75,artylerzysci,126,artylerzysci,81,piechurzy,11,artylerzysci,110,artylerzysci,48,1
konnica,226,piechurzy,5,konnica,114,konnica,299,piechurzy,190,konnica,4,0
piechurzy,258,piechurzy,58,piechurzy,11,piechurzy,460,konnica,211,konnica,49,0
artylerzysci,58,artylerzysci,32,artylerzysci,38,piechurzy,28,artylerzysci,22,konnica,271,0
konnica,93,konnica,43,konnica,169,artylerzysci,94,konnica,154,artylerzysci,276,0
piechurzy,169,artylerzysci,76,konnica,111,konnica,3,artylerzysci,240,artylerzysci,47,1
piechurzy,334,piechurzy,1,piechurzy,87,konnica,227,piechurzy,241,konnica,95,0
artylerzysci,58,konnica,49,artylerzysci,199,artylerzysci,497,artylerzysci,126,piechurzy,18,0
artylerzysci,340,piechurzy,49,piechurzy,26,konnica,206,artylerzysci,32,artylerzysci,74,0
piechurzy,84,piechurzy,248,artylerzysci,8,konnica,42,konnica,198,artylerzysci,96,0
artylerzysci,249,konnica,33,artylerzysci,77,piechurzy,246,artylerzysci,19,artylerzysci,347,1
konnica,159,piechurzy,160,piechurzy,24,artylerzysci,188,konnica,361,konnica,1,0
piechurzy,345,artylerzysci,45,piechurzy,1,artylerzysci,292,artylerzysci,60,konnica,96,0
piechurzy,285,artylerzysci,178,artylerzysci,36,konnica,272,konnica,157,piechurzy,46,0
konnica,301,konnica,15,piechurzy,7,artylerzysci,228,artylerzysci,25,konnica,308,0
artylerzysci,282,artylerzysci,105,konnica,55,artylerzysci,157,artylerzysci,302,piechurzy,20,1
konnica,87,piechurzy,58,piechurzy,2,konnica,426,konnica,33,konnica,28,0
piechurzy,66,piechurzy,41,piechurzy,172,artylerzysci,285,konnica,197,konnica,27,0
artylerzysci,214,artylerzysci,46,piechurzy,88,piechurzy,374,artylerzysci,73,artylerzysci,33,1
piechurzy,298,konnica,183,konnica,3,konnica,305,artylerzysci,166,piechurzy,41,0
konnica,209,piechurzy,88,konnica,67,artylerzysci,409,piechurzy,90,piechurzy,82,0
artylerzysci,14,artylerzysci,297,artylerzysci,14,konnica,220,artylerzysci,211,konnica,65,0
konnica,175,artylerzysci,150,artylerzysci,53,artylerzysci,20,artylerzysci,167,artylerzysci,112,1
piechurzy,155,piechurzy,51,piechurzy,80,piechurzy,52,konnica,468,piechurzy,8,0
piechurzy,106,piechurzy,61,konnica,92,artylerzysci,34,artylerzysci,397,piechurzy,51,0
konnica,52,piechurzy,169,artylerzysci,199,artylerzysci,4,konnica,315,piechurzy,89,1
piechurzy,158,konnica,226,artylerzysci,5,konnica,120,piechurzy,13,artylerzysci,1,1
artylerzysci,152,piechurzy,31,artylerzysci,66,artylerzysci,325,konnica,111,artylerzysci,124,0
piechurzy,246,artylerzysci,61,artylerzysci,141,konnica,10,piechurzy,229,konnica,151,0
piechurzy,239,piechurzy,37,piechurzy,35,piechurzy,269,piechurzy,152,piechurzy,190,0
konnica,209,konnica,84,piechurzy,14,piechurzy,106,artylerzysci,240,piechurzy,218,1
piechurzy,305,konnica,190,konnica,9,piechurzy,336,piechurzy,171,piechurzy,238,0
artylerzysci,128,konnica,82,konnica,61,konnica,309,piechurzy,145,artylerzysci,27,0
konnica,193,artylerzysci,72,artylerzysci,25,artylerzysci,500,konnica,68,piechurzy,56,0
piechurzy,335,piechurzy,79,konnica,120,artylerzysci,7,piechurzy,147,piechurzy,244,1
artylerzysci,280,piechurzy,23,konnica,24,artylerzysci,434,piechurzy,96,konnica,118,0
artylerzysci,250,artylerzysci,31,piechurzy,113,konnica,156,artylerzysci,137,konnica,214,0
konnica,18,konnica,19,piechurzy,90,piechurzy,4,konnica,170,artylerzysci,169,0
piechurzy,309,konnica,32,konnica,85,artylerzysci,240,artylerzysci,21,piechurzy,119,1
konnica,99,konnica,247,konnica,2,konnica,128,konnica,189,artylerzysci,104,0
konnica,203,konnica,33,piechurzy,21,piechurzy,29,konnica,356,artylerzysci,82,1
artylerzysci,40,piechurzy,215,piechurzy,143,piechurzy,325,konnica,151,piechurzy,134,0
piechurzy,126,piechurzy,241,artylerzysci,36,artylerzysci,181,artylerzysci,303,konnica,30,0
konnica,116,artylerzysci,229,konnica,56,konnica,287,konnica,128,piechurzy,32,0
artylerzysci,303,piechurzy,95,piechurzy,14,piechurzy,84,piechurzy,377,piechurzy,147,1
piechurzy,92,konnica,137,konnica,42,piechurzy,256,artylerzysci,214,piechurzy,160,0
artylerzysci,249,piechurzy,94,piechurzy,57,konnica,297,piechurzy,193,piechurzy,91,0
piechurzy,47,konnica,247,piechurzy,47,konnica,66,piechurzy,177,artylerzysci,229,0
konnica,76,artylerzysci,31,piechurzy,192,konnica,125,artylerzysci,213,konnica,62,0
piechurzy,212,artylerzysci,12,artylerzysci,124,konnica,500,artylerzysci,1,artylerzysci,1,0
konnica,152,piechurzy,46,piechurzy,123,konnica,3,piechurzy,322,konnica,200,0
artylerzysci,260,artylerzysci,143,artylerzysci,22,piechurzy,71,konnica,100,konnica,193,1
konnica,296,artylerzysci,7,artylerzysci,42,konnica,221,piechurzy,237,artylerzysci,4,1
konnica,10,piechurzy,253,artylerzysci,34,piechurzy,369,piechurzy,296,artylerzysci,60,0
artylerzysci,164,artylerzysci,167,piechurzy,47,artylerzysci,164,piechurzy,230,artylerzysci,83,0
piechurzy,97,piechurzy,197,konnica,55,konnica,153,artylerzysci,172,konnica,133,0
konnica,72,artylerzysci,84,artylerzysci,110,piechurzy,289,konnica,302,piechurzy,13,0
konnica,202,piechurzy,31,piechurzy,111,artylerzysci,147,piechurzy,50,artylerzysci,119,1
konnica,303,artylerzysci,46,artylerzysci,3,piechurzy,63,artylerzysci,292,piechurzy,121,1
artylerzysci,214,konnica,3,artylerzysci,122,piechurzy,476,piechurzy,196,piechurzy,25,1
artylerzysci,247,konnica,129,konnica,29,konnica,145,piechurzy,213,artylerzysci,116,0
piechurzy,268,konnica,40,piechurzy,53,artylerzysci,249,piechurzy,15,artylerzysci,130,0
artylerzysci,214,artylerzysci,51,artylerzysci,131,artylerzysci,294,konnica,19,piechurzy,93,1
piechurzy,213,artylerzysci,17,piechurzy,25,konnica,468,konnica,4,artylerzysci,9,0
artylerzysci,29,piechurzy,318,piechurzy,165,piechurzy,307,piechurzy,259,konnica,32,0
konnica,306,piechurzy,24,piechurzy,34,konnica,76,artylerzysci,89,artylerzysci,96,1
piechurzy,27,konnica,18,piechurzy,169,konnica,225,konnica,16,konnica,184,0
artylerzysci,20,piechurzy,72,konnica,198,konnica,244,konnica,200,artylerzysci,48,0
artylerzysci,299,konnica,11,piechurzy,14,konnica,109,piechurzy,142,artylerzysci,291,0
artylerzysci,280,artylerzysci,92,piechurzy,5,artylerzysci,408,piechurzy,166,konnica,110,0
konnica,194,konnica,137,konnica,16,artylerzysci,369,artylerzysci,67,konnica,107,0
konnica,348,konnica,3,artylerzysci,2,piechurzy,65,artylerzysci,220,artylerzysci,246,1
konnica,249,piechurzy,9,artylerzysci,96,artylerzysci,278,konnica,225,artylerzysci,3,1
konnica,5,artylerzysci,185,piechurzy,162,piechurzy,104,konnica,244,konnica,76,0
artylerzysci,237,artylerzysci,107,konnica,60,piechurzy,26,konnica,159,piechurzy,163,1
konnica,145,artylerzysci,78,artylerzysci,31,piechurzy,216,piechurzy,95,konnica,255,0
piechurzy,215,artylerzysci,92,konnica,126,artylerzysci,318,piechurzy,123,piechurzy,118,1
konnica,21,piechurzy,166,piechurzy,207,konnica,107,piechurzy,136,piechurzy,228,0
artylerzysci,21,konnica,127,konnica,80,konnica,242,konnica,197,artylerzysci,27,0
artylerzysci,74,konnica,285,piechurzy,2,artylerzysci,106,konnica,17,piechurzy,156,1
piechurzy,136,piechurzy,259,konnica,78,piechurzy,418,piechurzy,211,artylerzysci,147,0
piechurzy,154,artylerzysci,16,artylerzysci,2,konnica,159,konnica,273,artylerzysci,61,0
artylerzysci,100,piechurzy,112,piechurzy,93,piechurzy,238,artylerzysci,91,artylerzysci,171,0
konnica,142,artylerzysci,23,piechurzy,27,piechurzy,208,artylerzysci,223,piechurzy,53,0
artylerzysci,259,piechurzy,29,konnica,84,piechurzy,3,artylerzysci,160,piechurzy,203,1
konnica,155,konnica,25,konnica,113,piechurzy,209,piechurzy,20,konnica,337,0
konnica,272,artylerzysci,11,konnica,53,artylerzysci,267,artylerzysci,244,konnica,29,1
konnica,229,artylerzysci,101,artylerzysci,30,artylerzysci,49,artylerzysci,184,konnica,13,1
piechurzy,292,piechurzy,97,konnica,152,konnica,168,konnica,128,artylerzysci,181,0
artylerzysci,66,piechurzy,200,artylerzysci,24,piechurzy,60,piechurzy,206,piechurzy,365,0
piechurzy,130,piechurzy,178,piechurzy,163,piechurzy,390,piechurzy,6,artylerzysci,235,0
artylerzysci,163,piechurzy,161,piechurzy,100,konnica,11,piechurzy,33,konnica,329,0
piechurzy,181,konnica,218,piechurzy,37,konnica,165,konnica,88,konnica,214,0
artylerzysci,142,konnica,78,konnica,63,konnica,243,konnica,98,artylerzysci,31,0
piechurzy,10,konnica,201,konnica,102,konnica,181,piechurzy,154,artylerzysci,114,0
konnica,193,artylerzysci,110,piechurzy,18,artylerzysci,329,piechurzy,26,piechurzy,143,0
artylerzysci,3,artylerzysci,8,artylerzysci,252,artylerzysci,301,artylerzysci,73,konnica,156,0
artylerzysci,258,konnica,148,piechurzy,8,piechurzy,316,konnica,20,piechurzy,97,1
artylerzysci,28,konnica,34,piechurzy,21,konnica,74,artylerzysci,110,piechurzy,69,0
piechurzy,21,konnica,33,artylerzysci,78,artylerzysci,84,konnica,130,artylerzysci,101,0
konnica,64,piechurzy,270,artylerzysci,85,konnica,254,artylerzysci,213,konnica,11,0
konnica,55,artylerzysci,132,piechurzy,175,artylerzysci,293,konnica,86,konnica,37,0
piechurzy,348,piechurzy,174,konnica,23,piechurzy,134,piechurzy,221,konnica,228,0
artylerzysci,291,konnica,40,piechurzy,26,konnica,58,artylerzysci,87,konnica,37,1
piechurzy,316,piechurzy,29,artylerzysci,110,piechurzy,52,artylerzysci,185,artylerzysci,185,0
piechurzy,185,artylerzysci,141,konnica,93,piechurzy,488,konnica,210,piechurzy,10,0
konnica,276,artylerzysci,60,artylerzysci,31,konnica,192,piechurzy,285,piechurzy,33,1
piechurzy,300,konnica,132,piechurzy,49,artylerzysci,105,artylerzysci,323,artylerzysci,20,0
konnica,129,artylerzysci,100,konnica,95,artylerzysci,88,piechurzy,170,piechurzy,126,1
artylerzysci,118,piechurzy,138,artylerzysci,159,konnica,366,konnica,117,artylerzysci,2,0
piechurzy,137,artylerzysci,76,konnica,212,konnica,422,piechurzy,70,konnica,43,0
artylerzysci,68,artylerzysci,156,piechurzy,105,piechurzy,482,piechurzy,185,artylerzysci,103,0
konnica,147,piechurzy,107,konnica,147,piechurzy,69,konnica,285,konnica,36,1
piechurzy,183,konnica,71,piechurzy,89,konnica,308,piechurzy,30,piechurzy,69,0
piechurzy,345,piechurzy,71,piechurzy,105,konnica,229,artylerzysci,90,piechurzy,25,0
piechurzy,333,artylerzysci,10,artylerzysci,49,piechurzy,191,konnica,75,piechurzy,71,1
piechurzy,242,piechurzy,76,artylerzysci,140,konnica,413,konnica,85,konnica,3,0
piechurzy,296,artylerzysci,111,konnica,75,artylerzysci,9,konnica,216,konnica,104,0
piechurzy,304,konnica,51,piechurzy,54,artylerzysci,450,konnica,31,piechurzy,70,0
